frame,DetObj#,x,y,z,v,snr,noise
0,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,171,1007
0,1,-1.8854577541351318,2.555171012878418,0.0,0.0,254,982
0,2,2.7480356693267822,5.178505897521973,0.0,0.0,177,849
1,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,168,1009
1,1,-1.8854577541351318,2.555171012878418,0.0,0.0,251,984
1,2,2.6335339546203613,4.962735176086426,0.0,0.0,157,866
2,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,171,1005
2,1,-1.8854577541351318,2.555171012878418,0.0,0.0,258,977
2,2,2.6335339546203613,4.962735176086426,0.0,0.0,152,867
3,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,164,1013
3,1,-1.8854577541351318,2.555171012878418,0.0,0.0,258,977
3,2,2.6335339546203613,4.962735176086426,0.0,0.0,151,865
4,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,165,1008
4,1,-1.8854577541351318,2.555171012878418,0.0,0.0,263,972
5,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,175,1004
5,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,266,969
5,2,2.564833164215088,5.271646022796631,0.0,0.0,161,854
6,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,186,991
6,1,-1.526686429977417,1.9068306684494019,0.0,0.0,186,991
6,2,-1.8854577541351318,2.555171012878418,0.0,0.0,268,962
6,3,2.564833164215088,5.271646022796631,0.0,0.0,167,851
7,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,164,1008
7,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,245,981
7,2,2.564833164215088,5.271646022796631,0.0,0.0,165,861
8,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,156,1013
8,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,256,982
8,2,2.3816308975219727,5.356907367706299,0.0,0.0,171,862
9,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,183,981
9,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,294,941
9,2,2.3816308975219727,5.356907367706299,0.0,0.0,174,828
9,3,-3.7709155082702637,5.110342025756836,0.0,0.0,153,825
10,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,187,984
10,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,309,925
10,2,-0.6946423053741455,3.098600149154663,0.0,0.0,309,925
11,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,176,993
11,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,262,977
11,2,2.564833164215088,5.271646022796631,0.0,0.0,189,853
11,3,-0.05343402549624443,0.23835384845733643,0.0,0.49719977378845215,228,827
12,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,199,986
12,1,-2.480865478515625,1.9822099208831787,0.0,0.0,195,974
12,2,2.3816308975219727,5.356907367706299,0.0,0.0,188,842
12,3,-0.1145014837384224,0.21577109396457672,0.0,0.7457996606826782,231,830
13,0,-1.7862231731414795,2.6255011558532715,0.0,0.0,250,977
13,1,2.3816308975219727,5.356907367706299,0.0,0.0,187,842
14,0,-1.6869884729385376,2.690338134765625,0.0,0.0,240,987
14,1,2.564833164215088,5.271646022796631,0.0,0.0,187,841
15,0,-1.7862231731414795,2.6255011558532715,0.0,0.0,255,987
15,1,2.564833164215088,5.271646022796631,0.0,0.0,179,850
16,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,180,989
16,1,-2.480865478515625,1.9822099208831787,0.0,0.0,211,975
16,2,2.7480356693267822,5.178505897521973,0.0,0.0,175,853
17,0,-1.8854577541351318,2.555171012878418,0.0,0.0,205,998
17,1,2.6335339546203613,4.962735176086426,0.0,0.0,158,876
18,0,-1.7862231731414795,2.6255011558532715,0.0,0.0,244,982
18,1,2.6335339546203613,4.962735176086426,0.0,0.0,152,877
19,0,-1.6869884729385376,2.690338134765625,0.0,0.0,245,990
19,1,2.7480356693267822,5.178505897521973,0.0,0.0,177,855
20,0,-1.526686429977417,1.9068306684494019,0.0,0.0,153,1004
20,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,255,979
21,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,171,1000
21,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,257,981
21,2,2.564833164215088,5.271646022796631,0.0,0.0,176,856
22,0,-2.480865478515625,1.9822099208831787,0.0,0.0,198,993
22,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,198,993
22,2,2.3816308975219727,5.356907367706299,0.0,0.0,209,831
23,0,-2.183161497116089,2.306004285812378,0.0,0.0,192,982
23,1,2.3816308975219727,5.356907367706299,0.0,0.0,201,843
24,0,-1.526686429977417,1.9068306684494019,0.0,0.0,155,1002
24,1,-2.6793346405029297,1.7044107913970947,0.0,0.0,176,996
24,2,2.564833164215088,5.271646022796631,0.0,0.0,210,842
24,3,-0.2290029674768448,0.6961086988449097,0.0,-0.24859988689422607,298,844
25,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,172,1008
25,1,-1.9846923351287842,2.478879928588867,0.0,0.0,239,983
25,2,2.564833164215088,5.271646022796631,0.0,0.0,193,853
25,3,-6.412082672119141,8.008688926696777,0.0,0.0,157,742
26,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,168,1008
26,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,245,990
26,2,2.564833164215088,5.271646022796631,0.0,0.0,181,858
26,3,-6.0914788246154785,8.255167961120605,0.0,0.0,161,726
26,4,-0.0916011855006218,0.47987520694732666,0.0,-0.3728998303413391,167,854
27,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,161,1011
27,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,250,988
27,2,2.564833164215088,5.271646022796631,0.0,0.0,178,852
27,3,-6.412082672119141,8.008688926696777,0.0,0.0,150,731
28,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,168,1006
28,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,247,988
28,2,2.564833164215088,5.271646022796631,0.0,0.0,187,859
29,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,167,1004
29,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,255,984
29,2,2.3816308975219727,5.356907367706299,0.0,0.0,185,859
30,0,-1.7862231731414795,2.6255011558532715,0.0,0.0,244,991
30,1,2.564833164215088,5.271646022796631,0.0,0.0,205,833
31,0,-1.7862231731414795,2.6255011558532715,0.0,0.0,180,987
31,1,-0.49617308378219604,3.136504650115967,0.0,0.0,180,987
31,2,2.564833164215088,5.271646022796631,0.0,0.0,206,841
32,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,202,984
32,1,-2.5801000595092773,1.8511979579925537,0.0,0.0,178,981
32,2,-1.389284610748291,2.8554751873016357,0.0,0.0,178,981
32,3,2.564833164215088,5.271646022796631,0.0,0.0,198,849
33,0,-1.526686429977417,1.9068306684494019,0.0,0.0,154,1014
33,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,234,994
33,2,2.564833164215088,5.271646022796631,0.0,0.0,176,871
33,3,-0.0916011855006218,0.47987520694732666,0.0,-0.24859988689422607,238,889
34,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,161,1010
34,1,-1.6869884729385376,2.690338134765625,0.0,0.0,245,989
34,2,2.564833164215088,5.271646022796631,0.0,0.0,174,864
35,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,183,990
35,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,283,946
35,2,-6.412082672119141,8.008688926696777,0.0,0.0,174,720
36,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,167,992
36,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,272,958
36,2,0.09923461824655533,0.22320447862148285,0.0,-0.3728998303413391,262,857
37,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,183,996
37,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,263,968
37,2,2.3816308975219727,5.356907367706299,0.0,0.0,160,863
38,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,167,1003
38,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,255,978
38,2,2.564833164215088,5.271646022796631,0.0,0.0,164,873
39,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,168,1002
39,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,259,973
39,2,2.564833164215088,5.271646022796631,0.0,0.0,169,861
40,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,168,1003
