frame,DetObj#,x,y,z,v,snr,noise
0,0,-35.11378860473633,33.96662902832031,0.0,0.0,176,675
1,0,-35.11378860473633,33.96662902832031,0.0,0.0,175,667
2,0,-35.11378860473633,33.96662902832031,0.0,0.0,189,662
3,0,-35.11378860473633,33.96662902832031,0.0,0.0,177,673
4,0,-35.11378860473633,33.96662902832031,0.0,0.0,175,682
5,0,-35.11378860473633,33.96662902832031,0.0,0.0,180,678
6,0,-36.7168083190918,26.343969345092773,0.0,0.0,156,683
6,1,-35.11378860473633,33.96662902832031,0.0,0.0,174,679
7,0,-33.587100982666016,35.476985931396484,0.0,0.0,176,677
8,0,-35.11378860473633,33.96662902832031,0.0,0.0,175,678
9,0,-35.11378860473633,33.96662902832031,0.0,0.0,165,681
10,0,-35.11378860473633,33.96662902832031,0.0,0.0,190,665
11,0,-36.640472412109375,32.313865661621094,0.0,0.0,169,680
12,0,-35.11378860473633,33.96662902832031,0.0,0.0,190,663
13,0,-35.11378860473633,33.96662902832031,0.0,0.0,175,673
14,0,-35.11378860473633,33.96662902832031,0.0,0.0,167,684
15,0,-35.11378860473633,33.96662902832031,0.0,0.0,172,677
16,0,-33.587100982666016,35.476985931396484,0.0,0.0,178,673
17,0,-13.892847061157227,9.967988014221191,0.0,0.0,161,675
17,1,-35.11378860473633,33.96662902832031,0.0,0.0,176,680
18,0,-35.11378860473633,33.96662902832031,0.0,0.0,180,678
19,0,-33.587100982666016,35.476985931396484,0.0,0.0,182,670
20,0,-35.11378860473633,33.96662902832031,0.0,0.0,181,672
21,0,-35.11378860473633,33.96662902832031,0.0,0.0,176,678
22,0,-35.11378860473633,33.96662902832031,0.0,0.0,184,663
23,0,-35.11378860473633,33.96662902832031,0.0,0.0,185,668
24,0,-35.11378860473633,33.96662902832031,0.0,0.0,183,668
25,0,-35.11378860473633,33.96662902832031,0.0,0.0,187,660
26,0,-35.11378860473633,33.96662902832031,0.0,0.0,176,679
27,0,-35.11378860473633,33.96662902832031,0.0,0.0,174,673
28,0,-35.11378860473633,33.96662902832031,0.0,0.0,161,688
29,0,-35.11378860473633,33.96662902832031,0.0,0.0,185,671
30,0,-33.587100982666016,35.476985931396484,0.0,0.0,187,666
31,0,-33.587100982666016,35.476985931396484,0.0,0.0,167,683
32,0,-35.11378860473633,33.96662902832031,0.0,0.0,168,682
